"price","nom","km","year","fuel","power","phone","city","cp","type","url","marque","site","ref","dateScrap"
5990,,79890,2012,,75,,"Mons","7032",,"http://fr.ww3.autoscout24.be/classified/297435245?asrc=st|as","Citroen","Autoscout24","AS_297435245","2016-10-07T09:04:03.411Z"
13990,,10200,2014,,82,,"Borsbeek","2150",,"http://fr.ww3.autoscout24.be/classified/297435206?asrc=st|as","Peugeot","Autoscout24","AS_297435206","2016-10-07T09:04:10.300Z"
10990,,31000,2013,,101,,"Evergem","9940",,"http://fr.ww3.autoscout24.be/classified/297435107?asrc=st|as","Ford","Autoscout24","AS_297435107","2016-10-07T09:04:15.485Z"
23490,,118000,2012,,177,,"mouscron","7700",,"http://fr.ww3.autoscout24.be/classified/297434682?asrc=st|as","Audi","Autoscout24","AS_297434682","2016-10-07T09:04:21.062Z"
18750,,61000,2015,,105,,"Lanaken","3620",,"http://fr.ww3.autoscout24.be/classified/297434501?asrc=st|as","Volkswagen","Autoscout24","AS_297434501","2016-10-07T09:04:27.449Z"
14750,,137000,2009,,136,,"Châtelet","6200",,"http://fr.ww3.autoscout24.be/classified/297434469?asrc=st|as","Audi","Autoscout24","AS_297434469","2016-10-07T09:04:33.677Z"
13200,,97500,2013,,131,,"anderlecht","1070",,"http://fr.ww3.autoscout24.be/classified/297434294?asrc=st|as","Nissan","Autoscout24","AS_297434294","2016-10-07T09:04:39.833Z"
10350,,42700,2015,,120,,"liege","4020",,"http://fr.ww3.autoscout24.be/classified/297433896?asrc=st|as","Suzuki","Autoscout24","AS_297433896","2016-10-07T09:04:45.775Z"
27000,,52000,2014,,136,,"WARNETON","7784",,"http://fr.ww3.autoscout24.be/classified/297433889?asrc=st|as","Mercedes-Benz","Autoscout24","AS_297433889","2016-10-07T09:04:51.822Z"
19500,,3900,2016,,116,,"Kluisbergen","9690",,"http://fr.ww3.autoscout24.be/classified/297433565?asrc=st|as","Peugeot","Autoscout24","AS_297433565","2016-10-07T09:04:57.381Z"
5200,,52911,2010,,68,,"Woluwé Saint Lambert","1200",,"http://fr.ww3.autoscout24.be/classified/297433519?asrc=st|as","Toyota","Autoscout24","AS_297433519","2016-10-07T09:05:03.492Z"
13900,,78000,2011,,156,,"jodoigne","1370",,"http://fr.ww3.autoscout24.be/classified/297433480?asrc=st|as","Honda","Autoscout24","AS_297433480","2016-10-07T09:05:09.487Z"
27495,,89000,2013,,143,,"Mortsel","2640",,"http://fr.ww3.autoscout24.be/classified/297432910?asrc=st|as","BMW","Autoscout24","AS_297432910","2016-10-07T09:05:15.250Z"
7500,,52500,2009,,71,,"Waasmunster","9250",,"http://fr.ww3.autoscout24.be/classified/297432646?asrc=st|as","smart","Autoscout24","AS_297432646","2016-10-07T09:05:21.440Z"
7000,,101000,2010,,92,,"Bruxelles","1030",,"http://fr.ww3.autoscout24.be/classified/297432627?asrc=st|as","Citroen","Autoscout24","AS_297432627","2016-10-07T09:05:27.483Z"
21900,,112000,2011,,163,,"Tournai","7500",,"http://fr.ww3.autoscout24.be/classified/297432532?asrc=st|as","BMW","Autoscout24","AS_297432532","2016-10-07T09:05:33.407Z"
8800,,97400,2011,,75,,"Brussel","1000",,"http://fr.ww3.autoscout24.be/classified/297432442?asrc=st|as","Volkswagen","Autoscout24","AS_297432442","2016-10-07T09:05:39.322Z"
8900,,112000,2012,,105,,"Ottignies","1340",,"http://fr.ww3.autoscout24.be/classified/297432411?asrc=st|as","Volkswagen","Autoscout24","AS_297432411","2016-10-07T09:05:45.959Z"
48000,,90000,2012,,211,,"houdeng goegnies","7110",,"http://fr.ww3.autoscout24.be/classified/297432271?asrc=st|as","Porsche","Autoscout24","AS_297432271","2016-10-07T09:05:51.517Z"
22900,,99600,2013,,184,,"Bruxelles","1000",,"http://fr.ww3.autoscout24.be/classified/297432096?asrc=st|as","BMW","Autoscout24","AS_297432096","2016-10-07T09:05:57.576Z"
17500,,44000,2011,,163,,"Overijse","3090",,"http://fr.ww3.autoscout24.be/classified/297431998?asrc=st|as","MINI","Autoscout24","AS_297431998","2016-10-07T09:06:03.585Z"
11900,,109000,2010,,150,,"martelange","6630",,"http://fr.ww3.autoscout24.be/classified/297431938?asrc=st|as","Nissan","Autoscout24","AS_297431938","2016-10-07T09:06:09.682Z"
7500,,149600,2010,,140,,"marcnelle","6001",,"http://fr.ww3.autoscout24.be/classified/297431703?asrc=st|as","Ford","Autoscout24","AS_297431703","2016-10-07T09:06:15.868Z"
14000,,74400,2009,,136,,"Bure","6927",,"http://fr.ww3.autoscout24.be/classified/297431479?asrc=st|as","Audi","Autoscout24","AS_297431479","2016-10-07T09:06:21.774Z"
10999,,14000,2012,,95,,"Herk-de-Stad","3540",,"http://fr.ww3.autoscout24.be/classified/297431437?asrc=st|as","Citroen","Autoscout24","AS_297431437","2016-10-07T09:06:27.569Z"
8900,,105900,2011,,114,,"Sint-Lievens-Houtem","9520",,"http://fr.ww3.autoscout24.be/classified/297431258?asrc=st|as","Volvo","Autoscout24","AS_297431258","2016-10-07T09:06:33.960Z"
